I1;I2;I3;gx;gy;gz;ax;ay;az;V1real;V2real;V3real;N1;N2;N3;Type
0,208333138;0,296474125;0,169871656;-0,1125;-0,429999999;0,135624988;-0,008972183;-0,011657718;-0,002609249;168,75;-356,0625;170,4375;3002;-6196;3043;2
0,182692138;0,269230563;0,187499819;-0,064375;-0,04;0,50625;-0,008804331;0,000671414;0,003082276;170,4375;-352,6875;173,8125;3018;-6225;3050;2
0,227350213;0,305982733;0,341880473;-1,235333333;0,578666666;0,59;0,036393232;0,04106441;0,023046853;-115,2;-354,6;496,8;-1966;-5954;8140;2
0,222222;0,266666407;0,3042732;0,475333333;0,472;1,426666667;0,029980466;0,022607426;0,012434901;-118,8;-363,6;495;-1919;-5835;7984;2
0,2529912;0,20170922;0,264957007;0,628;0,434666667;0,675999993;0,011263017;0,013411438;0,006526674;-115,2;-361,8;504;-1915;-5874;8006;2
0,19316222;0,230769007;0,150427213;0,74;-1,388666667;21,36066667;0,005761723;0,015380885;0,00299479;167,4;158,4;183,6;2771;2752;2846;2
0,140170827;0,184615213;0,2341878;0,678666667;-0,930666667;19,65933333;-0,004345693;-0,004264324;-0,008072918;180;178,2;172,8;2758;2730;2659;2
0,227350207;0,247863067;0,15384602;0,72;-1,017333333;17,988;-0,00986327;-0,009440098;-0,007584638;172,8;178,2;176,4;3017;3024;3053;2
0,19316228;0,252991353;0,29743574;2,536;-0,572;40,24;-0,06075848;-0,010953743;-0,001529962;370,8;360;356,4;6053;6034;6001;2
0,27863228;0,241025407;0,12649562;1,18;-2,642;43,448;-0,01686197;-0,006510433;-0,022460932;351;358,2;370,8;6209;6272;6367;2
